EPCI_Siren,wood_composition,BO_harvest,BI_harvest,BE_harvest
200039824,coniferes,12815.0407666005,1077.68167324245,3868.47556707233
200039832,coniferes,28966.7788720732,2477.22937967756,8790.76748515727
200039857,coniferes,5293.39559228397,13029.8968425452,2544.9017270596
200039865,coniferes,1217.29383441718,422.126087741441,488.063729435321
200039907,coniferes,1451.07801485888,503.196408378483,581.797531220318
200039915,coniferes,193.430714270762,476.137142820338,92.9955357070972
200039931,coniferes,15911.0289614665,39165.6097513022,7649.53315455121
200039949,coniferes,722.469382154677,250.53373736009,289.668025161788
200040038,coniferes,0,0,0
200040095,coniferes,49522.7628895096,36291.374399705,11592.9251694773
200040111,coniferes,23297.3677343827,1959.19363031372,7032.77496334232
200040111,coniferes,23297.3677343827,1959.19363031372,7032.77496334232
200040137,coniferes,141.513377892005,115.63664593461,215.035106075386
200040178,coniferes,1941.83027260891,367.102210627512,1020.78639063634
200040202,coniferes,1003.46414936899,2470.06559844675,482.434687196632
200040210,coniferes,3195.5139622296,7865.88052241133,1536.30478953346
200040244,coniferes,2527.99717072231,2127.91269216209,977.568170978695
200040251,coniferes,81.237460420818,168.813762965789,363.078083800171
200040277,coniferes,2316.94877004153,2514.71634715132,1191.0142447486
200040277,coniferes,2316.94877004153,2514.71634715132,1191.0142447486
200040293,coniferes,16963.8096072707,7338.79094869797,9163.65424144912
200040350,coniferes,39705.834046412,3339.06465472569,11985.9976785326
200040384,coniferes,28263.9243246437,20712.4279790104,6616.38286261232
200040392,coniferes,113046.625891763,82843.0641887797,26463.40789889
200040400,coniferes,41921.0062895414,30726.470215022,9821.5246642018
200040418,coniferes,1402.33429730589,760.871384395261,220.452790700689
200040426,coniferes,7.78896878409106,1.90397014722226,23.8465364283724
200040442,coniferes,473.597110430068,1165.77750259709,227.690918475994
200040459,coniferes,685.682372715404,57.6625030071455,206.986895627753
200040475,coniferes,3465.53897604955,1983.72231042836,967.960886413841
200040491,coniferes,2341.50703571122,196.90918399034,706.830584681762
200040491,coniferes,2341.50703571122,196.90918399034,706.830584681762
200040509,coniferes,10526.9055857286,885.260798799849,3177.75634092434
200040558,coniferes,1816.07513091098,2002.65819230595,914.257000835325
200040566,coniferes,111535.665069527,9379.59889067319,33669.264346249
200040574,coniferes,5427.37919028158,456.415800279621,1638.36262195604
200040590,coniferes,6251.89881303141,525.753830711965,1887.26030970219
200040590,coniferes,6251.89881303141,525.753830711965,1887.26030970219
200040624,coniferes,800.582719561554,1970.66515584383,384.895538250747
200040624,coniferes,800.582719561554,1970.66515584383,384.895538250747
200040657,coniferes,18388.091841364,1586.35100316018,5553.82233995808
200040681,coniferes,1013.71358795417,453.107861277115,333.690575463922
200040681,coniferes,1013.71358795417,453.107861277115,333.690575463922
200040715,coniferes,31093.0619059707,2614.77303048383,9386.06068286614
200040764,coniferes,803.998188521017,0,9096.33235694564
200040772,coniferes,2516.06058410965,2774.55995918941,1266.64693789082
200040798,coniferes,9631.48986430546,809.960756413256,2907.45725223741
200040814,coniferes,3866.9859588533,1495.72098408477,964.556814317426
200040830,coniferes,13303.8672087245,9731.24546081852,3108.57436940368
200040889,coniferes,1498.00230634883,1097.76917480594,350.67164325933
200040905,coniferes,1994.19818945645,1080.82497291151,313.020612753422
200040947,coniferes,8.06665861384694,6.72221551153912,159.161742072216
200040954,coniferes,0,0,0
200041010,coniferes,20826.6757203446,1751.42062730503,6286.94731720814
200041051,coniferes,18533.3807727936,13581.6707565043,4338.53209918421
200041150,coniferes,25782.5230111449,18867.7040114146,6036.67044293075
200041168,coniferes,47589.2563185391,34874.4580812852,11140.3050876381
200041283,coniferes,992.569065887576,187.64477175354,521.776289368171
200041317,coniferes,499.173772566704,420.528802344659,193.170395634942
200041325,coniferes,936.906507183059,177.121788031508,492.51545066612
200041333,coniferes,2063.16666993794,1738.71707264931,798.645162556622
200041366,coniferes,7187.86397323069,604.463880747005,2169.80005497546
200041416,coniferes,487.497452588828,410.834546738165,188.708691324707
200041440,coniferes,36085.0611532819,26414.2038825344,8435.24137763679
200041465,coniferes,97972.281507253,8270.55284200236,29468.7688141651
200041499,coniferes,865.510591080257,728.347601477551,334.615915214313
200041515,coniferes,2508.48400785547,869.877518853107,1005.75557477376
200041523,coniferes,61082.0270718105,51466.1125616015,23630.3558293574
200041556,coniferes,957.81262572901,371.560358629552,239.295948652121
200041572,coniferes,38145.6847322495,27955.808723697,8932.14972886371
200041614,coniferes,70.919283430068,59.7666541809847,27.4526258438973
200041622,coniferes,4330.08101192445,3535.90413886719,6586.16423320085
200041630,coniferes,19448.1460178735,15891.9136031766,29552.2176363743
200041689,coniferes,1146.52422882652,966.22404768041,443.81583051349
200041721,coniferes,9396.82453564407,2192.60702592861,2787.24657451202
200041762,coniferes,55.5800268375673,46.8396193913369,21.5148490984131
200041853,coniferes,4344.35064781028,1011.96884971741,1287.02144496647
200041861,coniferes,3281.71022563523,764.43841470666,972.212369341589
200041879,coniferes,6446.09625619131,1501.54744457232,1909.66724157451
200041887,coniferes,2744.17087668014,639.224517224855,812.965401105445
200041887,coniferes,2744.17087668014,639.224517224855,812.965401105445
200041960,coniferes,9.41931628534475,7.8494302377873,185.850779222416
200041994,coniferes,0,0,0
200042000,coniferes,33473.5847441108,11607.7753548126,13420.9523993868
200042174,coniferes,12227.2786761579,3577.45843223169,1371.18723771416
200042182,coniferes,9215.67703887336,5274.63659874982,2578.05128439872
200042190,coniferes,132.421563942544,110.351303285454,2612.78527007994
200042372,coniferes,505.039709097028,273.723811800679,79.2738856359361
200042414,coniferes,393.255544340867,169.684043699116,211.889653507004
200042463,coniferes,25048.4618990823,11751.497032794,18354.9031462025
200042497,coniferes,0,0,0
200042604,coniferes,292.79568586891,161.285759165078,128.40827748912
200042620,coniferes,8523.62365505711,6965.01818670381,12951.9791281543
200042646,coniferes,13327.2262145055,6249.60866767137,9788.52037600432
200042653,coniferes,2432.36061638172,1140.16903892893,1790.07505588466
200042703,coniferes,11990.1462227757,9774.08698171677,18163.4303393985
200042729,coniferes,101.253751832138,55.7753717719405,44.4057767568911
200042901,coniferes,364.075796742056,32.2579451802383,110.027018872923
