EPCI_Siren,epci_area_surface,aldo_biomass_category,biomass_carbon_content
200036069,40567.2,mixte,79.1909331035093
200036077,43317.9,conifere,34.6177244616397
200036077,43317.9,feuillu,37.7060124015851
200036077,43317.9,mixte,35.9764705909456
200036135,38292.1,conifere,77.3697211285485
200036135,38292.1,feuillu,94.9460555394728
200036135,38292.1,mixte,79.1909331035093
200036150,49199.1,conifere,86.5617245010097
200036150,49199.1,feuillu,94.8273915124834
200036150,49199.1,mixte,95.188955882539
200036465,15766.3,conifere,109.322178876583
200036465,15766.3,feuillu,104.324371703403
200036465,15766.3,mixte,113.59206161647
200036473,47620.7,conifere,45.1723896319632
200036473,47620.7,feuillu,72.9972823485255
200036473,47620.7,mixte,58.8320667736962
200036499,18212.7,conifere,127.977434512876
200036499,18212.7,feuillu,80.2855618972943
200036499,18212.7,mixte,112.675654866816
200036523,67641.5,conifere,45.1723896319632
200036523,67641.5,feuillu,72.9972823485254
200036523,67641.5,mixte,58.8320667736962
200036549,49954.1,conifere,86.2327730355441
200036549,49954.1,feuillu,94.4673300737617
200036549,49954.1,mixte,94.9929965616359
200036572,16953.9,conifere,45.1723896319632
200036572,16953.9,feuillu,72.9972823485255
200036572,16953.9,mixte,58.8320667736962
200037059,46617.9,conifere,77.3697211285485
200037059,46617.9,feuillu,94.9460555394728
200037059,46617.9,mixte,79.1909331035092
200037133,62904.9,conifere,77.3697211285486
200037133,62904.9,feuillu,94.9460555394728
200037133,62904.9,mixte,79.1909331035093
200038958,65748.7,conifere,127.977434512877
200038958,65748.7,feuillu,80.2852183995249
200038958,65748.7,mixte,112.666000539435
200038990,35599.7,conifere,79.4209619188898
200038990,35599.7,feuillu,82.281353897693
200038990,35599.7,mixte,83.2695672216788
200039022,87982.1,conifere,79.4209619188898
200039022,87982.1,feuillu,82.281353897693
200039022,87982.1,mixte,83.2695672216788
200039055,31995.4,conifere,86.2327730355441
200039055,31995.4,feuillu,94.4673300737617
200039055,31995.4,mixte,94.992996561636
200039063,42599.6,conifere,86.232773035544
200039063,42599.6,feuillu,94.4673300737617
200039063,42599.6,mixte,94.9929965616359
200039204,73398.7000000001,conifere,47.0362884333014
200039204,73398.7000000001,feuillu,74.5629887598882
200039204,73398.7000000001,mixte,59.2347627768901
200039519,41796.4,conifere,45.1723896319632
200039519,41796.4,feuillu,72.9972823485254
200039519,41796.4,mixte,58.8320667736962
200039642,79184.4000000001,conifere,86.1390360844729
200039642,79184.4000000001,feuillu,94.4856700703436
200039642,79184.4000000001,mixte,94.3969241211065
200039709,56826.5,conifere,86.2327730355441
200039709,56826.5,feuillu,94.4673300737617
200039709,56826.5,mixte,94.9929965616359
200039758,72591.2999999999,conifere,90.3277371605292
200039758,72591.2999999999,feuillu,91.5079048638336
200039758,72591.2999999999,mixte,92.4802094358581
200039808,41485.9,conifere,34.6246783719403
200039808,41485.9,feuillu,37.7066856420856
200039808,41485.9,mixte,35.9823175713765
200039824,26693.6,conifere,94.0229442679184
200039824,26693.6,feuillu,86.0739462399316
200039824,26693.6,mixte,83.2231755699962
200039832,33098.5,conifere,92.6410709149913
200039832,33098.5,feuillu,64.6105851097726
200039832,33098.5,mixte,82.1625469717631
200039857,49136.2,conifere,64.4820194652285
200039857,49136.2,feuillu,45.7548994775975
200039857,49136.2,mixte,61.4303147895929
200039865,30604.7,conifere,86.232773035544
200039865,30604.7,feuillu,94.4673300737617
200039865,30604.7,mixte,94.9929965616359
200039907,24750.9,conifere,86.2327730355441
200039907,24750.9,feuillu,94.4673300737617
200039907,24750.9,mixte,94.992996561636
200039915,9750.8,conifere,34.6031212368887
200039915,9750.8,feuillu,37.7043360230899
200039915,9750.8,mixte,35.9741313997074
200039931,88034.5999999999,conifere,68.217192124738
200039931,88034.5999999999,feuillu,74.7617677715437
200039931,88034.5999999999,mixte,78.3127524974436
200039949,12629.8,conifere,86.2327730355441
200039949,12629.8,feuillu,94.4673300737617
200039949,12629.8,mixte,94.992996561636
200040038,31910.9,conifere,86.2327730355441
200040038,31910.9,feuillu,94.4673300737617
200040038,31910.9,mixte,94.992996561636
200040095,28738.3,conifere,45.1723896319632
200040095,28738.3,feuillu,72.9972823485255
200040095,28738.3,mixte,58.8320667736962
200040111,35597.1,conifere,68.5305895183037
200040111,35597.1,conifere,68.5305895183037
200040111,35597.1,feuillu,77.0193032662887
200040111,35597.1,feuillu,77.0193032662887
200040111,35597.1,mixte,78.5808642024841
200040111,35597.1,mixte,78.5808642024841
200040137,43943.4,conifere,77.3697211285485
200040137,43943.4,feuillu,94.9460555394728
200040137,43943.4,mixte,79.1909331035092
200040178,11948.9,conifere,88.6448934563148
200040178,11948.9,feuillu,98.488389206102
200040178,11948.9,mixte,95.8485837444039
200040202,64949,conifere,34.6246783719403
200040202,64949,feuillu,37.7066856420856
200040202,64949,mixte,35.9823175713765
200040210,55795.3,conifere,50.6683207240969
200040210,55795.3,feuillu,45.4702714298572
200040210,55795.3,mixte,42.9622299431059
200040244,132579.3,conifere,83.9021644665847
200040244,132579.3,feuillu,84.18541916455
200040244,132579.3,mixte,83.2552245035488
200040251,42219.9,conifere,77.3697211285486
200040251,42219.9,feuillu,94.9460555394728
200040251,42219.9,mixte,79.1909331035093
200040277,105605.2,conifere,77.3697211285486
200040277,105605.2,conifere,77.3697211285486
200040277,105605.2,feuillu,94.9460555394728
200040277,105605.2,feuillu,94.9460555394728
200040277,105605.2,mixte,79.1909331035092
200040277,105605.2,mixte,79.1909331035092
200040293,44970.9,conifere,91.6599627160013
200040293,44970.9,feuillu,90.348230865287
200040293,44970.9,mixte,84.585743207926
200040350,62289.5000000001,conifere,113.231245784006
200040350,62289.5000000001,feuillu,92.6913456047366
200040350,62289.5000000001,mixte,104.549790160923
200040384,23743.4,conifere,45.1723896319632
200040384,23743.4,feuillu,72.9972823485254
200040384,23743.4,mixte,58.8320667736962
200040392,101862.5,conifere,45.1723896319632
200040392,101862.5,feuillu,72.9972823485255
200040392,101862.5,mixte,58.8320667736962
200040400,68571.6,conifere,45.1723896319632
200040400,68571.6,feuillu,72.9972823485255
200040400,68571.6,mixte,58.8320667736962
200040418,45184.7,conifere,45.1723896319632
200040418,45184.7,feuillu,72.9972823485254
200040418,45184.7,mixte,58.8320667736962
200040426,32780.9,conifere,77.3697211285485
200040426,32780.9,feuillu,94.9460555394727
200040426,32780.9,mixte,79.1909331035093
200040442,36077.3,conifere,34.6246783719403
200040442,36077.3,feuillu,37.7066856420856
200040442,36077.3,mixte,35.9823175713765
200040459,37095.9,conifere,34.6246783719403
200040459,37095.9,feuillu,37.7066856420856
200040459,37095.9,mixte,35.9823175713765
200040475,46323.7,conifere,77.7627719010607
200040475,46323.7,feuillu,89.1986562518459
200040475,46323.7,mixte,82.1230387368477
200040491,42275.6,conifere,89.3235197481973
200040491,42275.6,conifere,89.3235197481973
200040491,42275.6,feuillu,93.1451716059334
200040491,42275.6,feuillu,93.1451716059334
200040491,42275.6,mixte,88.4378549405356
200040491,42275.6,mixte,88.4378549405356
200040509,23669,conifere,67.3170520828077
200040509,23669,feuillu,70.5083842620425
200040509,23669,mixte,76.0734405969712
200040558,54282.8,conifere,77.3697211285486
200040558,54282.8,feuillu,94.9460555394728
200040558,54282.8,mixte,79.1909331035092
200040566,57764.7,conifere,93.1566845724798
200040566,57764.7,feuillu,87.0019917277848
200040566,57764.7,mixte,82.4289568920907
200040574,24694.7,conifere,93.7543176736986
200040574,24694.7,feuillu,90.8826376839222
200040574,24694.7,mixte,85.7220759928497
200040590,17197.1,conifere,93.5473232736539
200040590,17197.1,conifere,93.5473232736539
200040590,17197.1,feuillu,90.161088674001
200040590,17197.1,feuillu,90.161088674001
200040590,17197.1,mixte,85.6526419826523
200040590,17197.1,mixte,85.6526419826523
200040624,64045.5,conifere,34.6246783719403
200040624,64045.5,conifere,34.6246783719403
200040624,64045.5,feuillu,37.7066856420856
200040624,64045.5,feuillu,37.7066856420856
200040624,64045.5,mixte,35.9823175713765
200040624,64045.5,mixte,35.9823175713765
200040657,71632.8,conifere,68.2178583696724
200040657,71632.8,feuillu,74.7719265928409
200040657,71632.8,mixte,78.3244488341402
200040681,37309.1,conifere,40.328769855677
200040681,37309.1,conifere,40.328769855677
200040681,37309.1,feuillu,41.585393169396
200040681,37309.1,feuillu,41.585393169396
200040681,37309.1,mixte,42.5479267835687
200040681,37309.1,mixte,42.5479267835687
200040715,54251.4,conifere,68.7276080963241
200040715,54251.4,feuillu,85.5743505878108
200040715,54251.4,mixte,81.9805715025606
200040764,58791.9,conifere,127.946986893322
200040764,58791.9,feuillu,80.2787595399539
200040764,58791.9,mixte,112.637286076965
200040772,38783.6,conifere,77.3697211285485
200040772,38783.6,feuillu,94.9460555394728
200040772,38783.6,mixte,79.1909331035092
200040798,43088.2,conifere,68.2178583696724
200040798,43088.2,feuillu,74.7719265928409
200040798,43088.2,mixte,78.3244488341402
200040814,32877.3,conifere,94.0229442679184
200040814,32877.3,feuillu,86.0739462399316
200040814,32877.3,mixte,83.2231755699962
200040830,32674.2,conifere,45.1723896319632
200040830,32674.2,feuillu,72.9972823485255
200040830,32674.2,mixte,58.8320667736962
200040889,28851.2,conifere,45.1723896319632
200040889,28851.2,feuillu,72.9972823485255
200040889,28851.2,mixte,58.8320667736962
200040905,48492.4,conifere,83.1514960252857
200040905,48492.4,feuillu,82.5534990249019
200040905,48492.4,mixte,77.3058587118511
200040947,62384.3000000001,conifere,77.3697211285485
200040947,62384.3000000001,feuillu,94.8845271114196
200040947,62384.3000000001,mixte,79.1909331035092
200040954,43522.8,conifere,70.5998705298005
200040954,43522.8,feuillu,94.9460555394728
200040954,43522.8,mixte,79.1909331035093
200041010,33004.7,conifere,69.0610792862027
200041010,33004.7,feuillu,88.0203138580006
200041010,33004.7,mixte,81.9494729152255
200041051,25607,conifere,45.1723896319632
200041051,25607,feuillu,72.9972823485255
200041051,25607,mixte,58.8320667736962
200041150,58162.7000000001,conifere,51.2636548838121
200041150,58162.7000000001,feuillu,76.6208128332407
200041150,58162.7000000001,mixte,64.7681269414258
200041168,53707.8000000001,conifere,45.1723896319632
