EPCI_Siren,aldo_biomass_category,biomass_carbon_content
200071074,prairies zones arborées,48
200071082,prairies zones arborées,57
200071116,prairies zones arborées,48
200071140,prairies zones arborées,48
200071157,prairies zones arborées,48
200071165,prairies zones arborées,48
200071173,prairies zones arborées,48
200071181,prairies zones arborées,48
200071199,prairies zones arborées,57
200071207,prairies zones arborées,48
200071215,prairies zones arborées,57
200071223,prairies zones arborées,48
200071298,prairies zones arborées,44
200071314,prairies zones arborées,44
200071363,prairies zones arborées,57
200071371,prairies zones arborées,57
200071389,prairies zones arborées,57
200071405,prairies zones arborées,57
200071413,prairies zones arborées,57
200071454,prairies zones arborées,48
200071470,prairies zones arborées,57
200071496,prairies zones arborées,57
200071504,prairies zones arborées,48
200071512,prairies zones arborées,57
200071520,prairies zones arborées,48
200071538,prairies zones arborées,48
200071546,prairies zones arborées,48
200071553,prairies zones arborées,48
200071579,prairies zones arborées,48
200071587,prairies zones arborées,48
200071595,prairies zones arborées,48
200071629,prairies zones arborées,48
200071645,prairies zones arborées,48
200071652,prairies zones arborées,48
200071678,prairies zones arborées,48
200071751,prairies zones arborées,57
200071769,prairies zones arborées,48
200071777,prairies zones arborées,48
200071785,prairies zones arborées,48
200071819,prairies zones arborées,31
200071827,prairies zones arborées,31
200071843,prairies zones arborées,48
200071850,prairies zones arborées,48
200071868,prairies zones arborées,48
200071876,prairies zones arborées,48
200071884,prairies zones arborées,48
200071892,prairies zones arborées,48
200071900,prairies zones arborées,48
200071918,prairies zones arborées,48
200071926,prairies zones arborées,44
200071934,prairies zones arborées,48
200071942,prairies zones arborées,31
200071967,prairies zones arborées,57
200071983,prairies zones arborées,48
200071991,prairies zones arborées,48
200072007,prairies zones arborées,57
200072015,prairies zones arborées,57
200072023,prairies zones arborées,31
200072031,prairies zones arborées,48
200072049,prairies zones arborées,31
200072056,prairies zones arborées,48
200072064,prairies zones arborées,48
200072072,prairies zones arborées,48
200072080,prairies zones arborées,57
200072098,prairies zones arborées,57
200072106,prairies zones arborées,44
200072122,prairies zones arborées,48
200072130,prairies zones arborées,48
200072304,prairies zones arborées,44
200072312,prairies zones arborées,48
200072320,prairies zones arborées,44
200072346,prairies zones arborées,48
200072452,prairies zones arborées,48
200072460,prairies zones arborées,48
200072478,prairies zones arborées,48
200072544,prairies zones arborées,48
200072635,prairies zones arborées,44
200072643,prairies zones arborées,44
200072650,prairies zones arborées,48
200072668,prairies zones arborées,48
200072676,prairies zones arborées,48
