CODGEO,LIBGEO,EPCI,LIBEPCI,NATURE_EPCI
80213,Cottenchy,248000523,CC du Val de Noye,CC
80214,Coullemelle,248000523,CC du Val de Noye,CC
80215,Coulonvillers,248000705,CC du Haut Clocher,CC
80216,Courcelette,248000747,CC du Pays du Coquelicot,CC
80217,Courcelles-au-Bois,248000747,CC du Pays du Coquelicot,CC
80218,Courcelles-sous-Moyencourt,248000762,CC du Sud Ouest Amiénois,CC
80219,Courcelles-sous-Thoix,248000648,CC du Canton de Conty,CC
80220,Courtemanche,248000739,CC du Canton de Montdidier,CC
80221,Cramont,248000705,CC du Haut Clocher,CC
80222,Crécy-en-Ponthieu,200011997,CC Authie-Maye,CC
80223,Crémery,200030716,CC du Grand Roye,CC
80224,Cressy-Omencourt,200030716,CC du Grand Roye,CC
80225,Creuse,248000531,CA Amiens Métropole,CA
80226,Croix-Moligneaux,248000341,CC du Pays Hamois,CC
80227,Croixrault,248000762,CC du Sud Ouest Amiénois,CC
80228,Le Crotoy,200011997,CC Authie-Maye,CC
80229,Crouy-Saint-Pierre,248000481,CC de l'Ouest d'Amiens,CC
80230,Curchy,248000358,CC du Pays Neslois,CC
80231,Curlu,248000465,CC du Canton de Combles,CC
80232,Damery,200030716,CC du Grand Roye,CC
80233,Dancourt-Popincourt,200030716,CC du Grand Roye,CC
80234,Daours,248000499,CC du Val de Somme,CC
80235,Dargnies,247600588,CC Bresle Maritime,CC
80236,Davenescourt,248000739,CC du Canton de Montdidier,CC
80237,Démuin,248000432,CC Avre Luce Moreuil,CC
80238,Dernancourt,248000747,CC du Pays du Coquelicot,CC
80239,Devise,248000721,CC de la Haute Somme,CC
80240,Doingt,248000721,CC de la Haute Somme,CC
80241,Domart-en-Ponthieu,248000457,CC du Val de Nièvre et Environs,CC
80242,Domart-sur-la-Luce,248000432,CC Avre Luce Moreuil,CC
80243,Domesmont,248000689,CC du Bernavillois,CC
80244,Dominois,200011997,CC Authie-Maye,CC
80245,Domléger-Longvillers,248000689,CC du Bernavillois,CC
